courseName,courseSubject,courseNumber
Digital Photography II,PHOT,332
Chemistry and Biochemistry Graduate Students Association, , 
Working in Task Groups,AHSC,232
"Human Physiology I: Musculoskeletal, Neuromuscular and Bioenergetic Systems: From Rest to Exercise",EXCI,258
Tutorial in translation,FTRA,683
Engineering Industrial Experience Reflective Learning I,ENGR,108
Introduction to Public Performance Design,DFTT,351
"Physical Activity, Health and Aging",EXCI,455
Numerically Controlled Machines,MECH,6611
Seminar in Innovation Process,ENCS,6043
Advanced Projects in Print Media II,PRIN,452
Broadband Communications Networks,ELEC,7151
Grammar for Teachers,TESL,331
Communication Networks and Protocols,COEN,445
Introduction to Software Engineering,COMP,354
Model-Driven Software Engineering,COEN,6312
Training and Development,MANA,444
Advanced Statistics in Biological Science,BIOL,422
Plant Ecology,GEOG,374
Applied Game Theory and Mechanism Design,INSE,6441
Functional Hardware Verification,COEN,6541
"Information Technology Strategy, Management and Sourcing",BTM,496
Project Cost Estimating,BLDG,6851
Biomedical Sciences Society (BSS), , 
Water Resources Engineering,CIVI,382
Metal Casting: Bronze and Aluminum I,SCUL,311
Soil Testing and Properties,CIVI,6531
APC Practicum IV: General,PSYC,826
Control Systems and Applications,SOEN,385
Logistics Network Models,INDU,6141
Special Topics in Design for the Theatre: Conception,DFTT,498
Inclusive Practices for School-Aged Populations,EDUC,362
The Digital Magazine,JOUR,528
Media Technology as Practice,COMS,876
Seminar in Advanced Topics in Sexuality I,SSDB,492
Quantitative Methods of Inquiry,CHST,605
Fraud Prevention and Investigation,ACCO,455
Design for Live Performance l,DFTT,209
Advanced Fibres,FBRS,480
Communication Media: Sound I,COMS,276
Strategic Management,GIIM,637
The Older Adult and Leisure,AHSC,444
Human Factors Engineering,INDU,412
Geology for Civil Engineers,CIVI,231
Art Direction,SCEN,412
Internship II in Youth Work,AHSC,537
Traduction assistée par ordinateur (TAO) et post édition Co-listé : FTRA 552,FTRA,652
Creative Writing: Playwriting,ENGL,384
Vibration Problems in Rotating Machinery,MECH,6301
Conduction and Radiation Heat Transfer,MECH,6131
Intermediate Modern Standard Arabic I      ,MARA,250
Mechanical Systems in Building,BLDG,6711
Properties and Failure of Materials,MECH,321
Traffic Engineering,CIVI,6441
Solid State Devices,ELEC,421
Language acquisition,TESL,341
Seminar in Women’s Studies,WSDB ,498
Managing Talent,EMBA,611
Finance and Investment Students' Association (FISA), , 
Advanced Studio Practice,SCUL,490
The Actor's Profession,ACTT,465
Working in Childhood Settings: Leadership and Organizational Issues,EDUC,302
Applications of Artificial Intelligence in Building and Civil Engineering,BLDG,6231
Professional Internship in Intermedia I,IMCA,481
Communication Media: Sound II,COMS,376
Van Berkom Investment Management Program (VBIMP), , 
Digital Systems Design II,COEN,313
Jazz Vocal Repertoire I,JPER,341
Photographic Vision: Theory and Practice II,PHOT,300
Quality-Based System Engineering,INSE,6270
Advanced Steel Structures Design,CIVI,6071
Advanced Techniques in Molecular Biology,BIOL,689
Special Topics in Painting,PTNG,499
High-throughput Instrumentation,BIOL,680
Economics and Social Issues,ECON,200
AIESEC, , 
Management Research for Decision Making,MANA,420
Movement for Stage lV,ACTT,458
Special Topics in Drawing,DRAW ,398
Joining Processes and Nondestructive Testing,MECH,6541
Animation for Computer Games,COMP,477
VLSI Circuit Design,COEN,6511
The Solo Play,ENGL,416
Honours Research Experience I,PHYS,289
Choreography I,DANC,320
Paper Works,FBRS,372
"Milieux Institute for Arts, Culture and Technology", , 
Contemporary Print Processes I ,PRIN,271
Business Practices in Construction,BLDG,7861
Introduction to Game Development,COMP,376
Communication Media: Moving Images III,COMS,484
Stage Combat,ACTT,372
Mechanics of Biological Tissues,MECH,6361
Advanced Youth Work Intervention,AHSC,410
Building Service Systems,BLDG,371
Engineering Industrial Experience Work Term III,ENGR,307
Extramural Practicum III: General,PSYC,841
Costume Design Realization,DFTT,325
Engineering Industrial Experience Work Term II,ENGR,207
Assessment Practicum I,PSYC,706
Chamber Ensemble II,MPER,322
Biodiversity on Earth,LOYC,320
Optimum Design of Mechanical Systems,MECH,6321
Issues in Material Practices,FBRS,385
Advanced Techniques in Molecular Biology,BIOL,466
Management Control Systems,EMBA,631
Gas Dynamics,MECH,6111
MEMS - Design and Fabrication,MECH,424
Centre for the Study of Politics and Immigration, , 
Spectroscopy and Structure of Organic Compounds,CHEM,293
"Program Planning, design & evaluation",AHSC,260
Water Pollution and Control,CIVI,6651
Chamber Ensemble III,MPER,421
Statistical Methods,GEOG,362
Applied Econometrics: Microeconometrics,ECON,683
Fundamentals of Human Performance Technology,ETEC,651
International Financial Management,FINA,471
Tutorat en langue ou linguistique,FRAA,492
Business to Business Marketing,MARK,485
3D Graphics and Computer Animation for Game Design,INSE,6530
Business Advisory Services,ACCO,652
Professional Internship,ARTT,470
Telecommunication Network,ELEC,463
Fibre Structures I,FBRS,240
Intelligent Systems,COMP,474
Advanced Research Methods in Youth Work,AHSC,510
Antennas,ELEC,456
Engineering Industrial Experience Work Term III,ENGR,307
Building Envelope Design,BLDG,463
Hair and Make up Design,SCEN,327
Strategic Managerial Accounting and Control,MBA,649
Computer Science Industrial Experience Work Term II,COMP,207
Strategic Management of Information Technology,BTM,633
Special Topics in Ceramics,CERA,398
Crypto-Protocol and Network Security,INSE,6120
Supply Chain Logistics,SCOM,374
Nanoscience and Nanotechnology: Opto-Electronic Devices,ELEC,6271
Lean Enterprise,INDU,6221
Recherche dirigée,FLIT,496
Rédaction avancée,FRAA,423
Programming and Problem Solving,COMP,6481
Engineering Aspects of Biological Treatment of Water and Air,CIVI,6621
Introduction to Ceramics,CERA,201
Design of Reinforced Concrete Structures,CIVI,453
Introduction to Quantum Theory,CHEM,333
Special Topics in Painting,PTNG,399
Supervised Internship II,JAZZ,482
Network Security Architecture and Management,INSE,6170
Optical Devices for High-Speed Communications,ELEC,425
Basic Circuit Analysis,ELEC,273
Organization Development II,AHSC,425
Environmental Modelling,HENV,655
Small Business Consulting Bureau,MBA,660
Essentials of Exercise Testing and Training in Athletic Populations,EXCI,352
"Web, technologies, traduction : théories et critiques",FTRA,418
Materials and Methods of the Artist,PTNG,460
Seminar/Workshop in Drawing,DRAW ,420
Getting Ready for the EA Internship,ENVS,608
Human Anatomy I: Musculoskeletal Anatomy,EXCI,253
Centre for Gender Advocacy, , 
Public History Workshop,HIST,485
Introduction to Reporting,JOUR,206
Engineering Materials,CIVI,321
Diversity Issues in Childhood,EDUC,402
Intermediate Reporting,JOUR,208
Analysis of Financial Statements,ACCO,355
Not‑for‑Profit Organizations and the Law,POLI,300
Mémoire,FLIT,692
Honours Seminar,ENGL,470
Tutorial in Philosophy,PHIL,497
Discrete Event Systems,ELEC,6091
Biophysical Chemistry,CHEM,335
The Sustainable University Campus,GEOG,301
Student Success Centre, , 
Consumer Behaviour,MARK,305
Independent Study II ,FBRS,452
Global Environmental Issues and Ecological Justice (also listed as POLI 208),LOYC,240
Clown for the Actor,ACTT,370
Advanced Video Journalism,JOUR,421
Independent Study,PHOT,480
African Popular Culture,HIST,368
Academic Oral Communication II,ESL,206
Bioinformatics,BIOL,630
Urban Transportation Planning,CIVI,6411
Intaglio II,PRIN,311
Concordia Centre for Cognitive Science and Linguistics, , 
Computers in Language Learning,TESL,330
APC Practicum I,PSYC,705
Unit Operations in Environmental Engineering,CIVI,6641
Digital Electronics,COEN,315
Classical Text Project,ACTT,460
Teaching of Laboratory Techniques,PSYC,851
Communication Media: Intermedia II,COMS,374
Supervised Internship I,JAZZ,481
Eclectic Ensemble I,JPER ,224
Leisure Education,AHSC,350
Briscoe Business Ownership Club, , 
Performance Management,ACCO,656
Abstract Painting II,PTNG,416
Graduate Phonology,APLI,601
Centre for Sensory Studies, , 
Precast and Prestressed Concrete Structures,CIVI,6011
Independent Study II,SCUL,452
Learning Theories,ETEC,613
Engineering Industrial Experience Reflective Learning I,ENGR,108
"Assessment of the Hip, Spine and Pelvis",CATA,437
Editing II,ENGL,215
News and Feature Photography,JOUR,523
Process Dynamics and Control,MECH,6051
Visual Journalism,JOUR,321
Technique I,DANC,205
Projected Futures 5: Experimental Science Journalism Studies, , 
Étude avancée d’un sujet particulier,FRAA,598
Tutorat en traduction,FTRA,492
Statistics Lab I,STAT,287
The Marketing of Food,MARK,458
Independent Study II,CERA,452
Computational Methods in Physics with Python,PHYS,679*
"Communication: Child, Parent and Teacher",EDUC,264
Cases in Industrial Engineering,INDU,480
Techniques in Ecology,BIOL,450
Electronics II,ELEC,312
Operating Systems Security,INSE,6130
Traduction littéraire de l’anglais au français Co-listé : FTRA 504,FTRA,634
Independent Study II,ARTX,492
Delegation Concordia aux Jeux de la Communication, , 
Academic Oral Communication II,ESL,206
Driverless Ground Vehicles,MECH,6771
Design of Industrial Control Systems,MECH,6021
Directed and Independent Study I,SCOL,290
The Creative Process,ENGL,224
Seminar in Special Topics in Finance,MSCA,632
Facilitating Individual and Group Learning Processes,AHSC,680
Database Design,COMP,451
Voice for the Stage ll,ACTT,325
Black‑and‑White II Fine Art Printing,PHOT,301
Electronic Arts Workshop,IMCA,321
Introductory Analytical Chemistry II,CHEM,218
Mergers and Acquisitions,FINA,415
Information Theory and Source Coding,ELEC,6151
Theatre in the City,PERC,211
Communication Media: Advanced Topics,COMS,493
Special Topics in Painting,PTNG,298
Mechanical Vibrations,MECH,375
Fundamentals of Electrical Power Engineering,ELEC,331
Introduction to Intermedia Arts,IMCA,201
John Molson International Business Association, , 
"Play, Adult Learning and Development",AHSC,360
Creative Process III,DANC,401
Concordia University Tamil Mantram (CUTAM), , 
Advanced Topics in Biology: Advanced Statistics in Biological Science,BIOL,680
Investment Analysis,FINA,410
Econometric Theory I,ECON,680 (lab)
Extreme Fibres,FBRS,395
Independent Study I ,DRAW ,471
Object‑Oriented Programming I,COMP,249
Right To Move, , 
Capstone Software Engineering Design Project,SOEN,490
The Concordian, , 
Colour Photography II,PHOT,322
Teaching Science Concepts in the Elementary Classroom,EDUC,382
Extended Internship in Youth Work,AHSC,538
Information Systems and Internal Control,ACCO,653
Negotiation and Conflict Resolution,MANA,343
Directing II,PERC,471
Leadership,EMBA,640
The Centre for the Study of Learning and Performance, , 
Introduction to Environmental Engineering,CIVI,361
Impact of information and Communication Technologies on Society,ENCS,393
Parallel Programming,COMP,628
APC Practicum III: Child,PSYC,825
Avionic Navigation Systems (3 credits),AERO,482
Internship In Tropical Biology,BIOL,498
Internship,POLI,397
Special Topics in Photography,PHOT,499
Advanced Analysis of Groundwater Flow and Contamination,CIVI,7311
Software Engineering Project,SOEN,491
Literary Production: Curating and Archiving the Literary Event,ENGL,415
Gestion de projets Co-listé : FTRA 555,FTRA,655
Controlled Electric Drives,ELEC,6491
Programmation en localisation,FTRA,556
"Religion, Politics, Heritage",RELI,6007
"Religion, Politics, Heritage",RELI,392
Women in Jewish History: Modern,RELI,6007
Women in Jewish History: Modern,RELI,392
Hydraulic Engineering,CIVI,484
Engineering Industrial Experience Work Term I,ENGR,107
Microcontrollers for Mechatronics,MECH,471
Field Studies in Ireland,IRST,390
Concordia Community Solidarity Co-op Bookstore, , 
Sociolinguistics,APLI,623
Electronics for Mechanical Engineers,MECH,368
Design of Adult Learning Projects,ADED,344
Centre for NanoScience Research, , 
Performance Creation Field School,PERC,496
Modelling in Building and Environmental Engineering,CIVI,6601
Digital Signal Processing,ELEC,442
Planning Human Systems Intervention,AHSC,632
Le français des affaires II,FRAN,319
Computer-Aided Building Operation,BLDG,6111
Digital Systems Design I,COEN,212
Ceramics I ,CERA,230
Introduction to History,HIST,200
Lab for Latin American and Caribbean Studies, , 
Introduction to Christianity,RELI,223
Minding the Gap,POLI,683
Liberal Arts Society , , 
Introduction to Performance Studies,PERC,321
Athletic Therapy Field Internship I ,CATA,365
Student Work Abroad Programs (SWAP), , 
Discrete Optimization,INDU,6361
Field Research,SOCI,415
Barry F. Lorenzetti Centre for Women Entrepreneurship and Leadership, , 
Thermodynamics and Phase Equilibria of Materials,MECH,6661
Intermediate Reporting,JOUR,504
Design of Power Electronic Circuits,ELEC,7441
Special Topics in Acting,ACTT,498
"Experiential learning in Contemporary Circus Practice and Physical Theatre: Methods in research-creation, action-research and participant observation (intensive Faculty of Arts and Science international graduate seminar)",ENGL ,637
Directed and Independent Study II,SCOL,391
Supervised Internship II,PERC,409
Special Topics in Sculpture,SCUL,398
Principles of Solid State Nanodevices,ELEC,6281
Introduction to Digital Media and Electronic Arts,IMCA,220
Special Topics in Design for the Theatre,DFTT,399
Image Processing,COMP,6771
Mechanical Engineering Drawing,MECH,211
Tutorial in linguistics,FTRA,685
Traduction avancée en sciences humaines et sociales Co-listé : FTRA 542 ou FTRA 543,FTRA,612
"Advanced Practices in Video, Performance and Electronic Arts ",IMCA,400
Drawing I,DRAW ,200
Cross-Cultural Communications,MARK,492
Bob and Raye Briscoe Centre in Business Ownership Studies, , 
CURE Concordia, , 
4th space, , 
Hydraulic Structures,CIVI,6381
Thaqalayn Muslim Association, , 
Discrete Structures and Formal Languages,COMP,5361
Research Methodology in Economics,ECON,696
Master’s Project,AHSC,698
John Molson Marketing Association (JMMA), , 
Embedded Systems Design,COEN,421
Large-scale Control Systems,ELEC,6041
Introduction to Modern Standard Arabic I      ,MARA,200
Doctoral Research Proposal,ENCS,8511
Professional Internship,PRIN,481
Intelligent Systems,COMP,6741
Laboratory for Sensory Research, , 
"Seminar in Creative Writing: Prose Fiction, Poetry and Drama ",ENGL,670
Introduction to Acting,ACTT,201
Set Design Realization,DFTT,335
Internship in Therapeutic Recreation,AHSC,438
Electrical Power Systems,ELEC,431
Housing and Land Use from a CED Perspective: Part II,SCPA,516
Directed Studies / Practicum in Urban Planning I,URBS,483
Systems Physical Security,INSE,6680
Traduction littéraire de l’anglais au français,FTRA,304
Solid State Devices,ELEC,6221
Evolution of the Earth,GEOL,331
Industrial Electrical Systems,ELEC,438
Design Using Composite Materials,MECH,7501
Environmental Modelling,GEOG,467
Independent Study and Practicum,CHEM,419
Supervised Internship II,EAST,482
Intermediate Analytical Chemistry,CHEM,312
John Molson Sustainable Enterprise Committee, , 
Concordia Student Union (CSU), , 
Desjardins Centre for Innovation in Business Finance, , 
Advanced Studies in Creative Writing,ENGL,428
Practicum in Innovation,ENCS,6044
Introduction to Fibres and Material Practices,FBRS,201
District 3 Start Up Consulting,MBA,663
Computer Graphics,COMP,371
Programming on the Cloud,COEN,6313
Non-Indo-European Structures,LING,421
Integrated Building Design,BLDG,7511
Software Engineering Team Design Project,SOEN,390
Computer Science Project I,COMP,490
Physical Chemistry II: Kinetics of Chemical Reactions,CHEM,235
Introduction to Modern Chinese II ,MCHI,206
Centre for Interdisciplinary Studies in Society and Culture, , 
Fracture,MECH,6551
Azrieli Institute of Israel Studies, , 
Argumentation and Composition for Engineers,ENCS,272
Casa Cares, , 
Metal Machining and Surface Technology,MECH,6421
Advanced Computer-Aided Building Design,BLDG,7521
Engineering Industrial Experience Reflective Learning III,ENGR,308
Travaux dirigés (A),FTRA,527
Compiler Design,COMP,442
Acoustics,ELEC,6361
Processes in Digital Print Media I,PRIN,241
Traduction littéraire du français à l’anglais Co-listé : FTRA 501,FTRA,635
Risk Analysis for Information and Systems Engineering,INSE,6320
System Optimization,ELEC,482
Special Topics in Performance Creation,PERC,499
Advanced Database Techniques and Applications,COMP,6521
Theory of Machines,MECH,343
Directed Research,WSDB ,496
Cases in Finance,FINA,405
Kinesiology and Clinical Exercise Physiology Internship I,KCEP ,383
Statistical Learning,STAT,380
Computer Numerically Controlled Machining,MECH,414
Initiation au sous-titrage,FTRA,438
Digital Photography I,PHOT,331
Mathematical and Computational Finance I ,MACF,401
Presocratics and Plato,PHIL,260
Financing CED Initiatives: Part II,SCPA,509
Introduction to Flight and Aerospace Systems,AERO,201
Various External Internships, , 
Introduction to Six Sigma,INDU,6321
Advanced Urban Laboratory,URBS,433
Mechatronics,MECH,6741
Advanced Tutorial in Women’s Studies,WSDB,494
Accounting in Society / Accounting Theory,ACCO,400
Colour Photography I,PHOT,221
Introductory Spanish I,SPAN,201
Workplace Planning and Staffing,MANA,446
Microscopy and Cellular Imaging, , 
Professional Internship in Intermedia,IMCA,480
John Molson Graduate Students’ Association, , 
Religions of the West,RELI,214
Life in the Round: Drawing the Figure from Observation I,DRAW ,314
Formal Hardware Verification,COEN,6551
Hydraulics,CIVI,381
Graph Theory with System Applications,INDU,6131
Argumentation and Composition for Engineers,ENCS,5721
Advanced Family Life Education,AHSC,456
Experimental Physics II,PHYS,330
Tools and Techniques for Software Engineering,COMP,5541
Media Production: Moving Images,COMS,569
World Health Organization (WHO) Internship Programme, , 
Gas Dynamics,MECH,461
Design Field School,SCEN,448
Power Electronics,ELEC,433
Community Development and Leisure,AHSC,442
Paper: Surface and Object ,FBRS,371
Environmental Nanotechnology,CIVI,6681
Software Engineering,COEN,6311
Secondary Pedagogy,TESL,427
Documentary Video and Radio,JOUR,432
Operations Research I,INDU,323
Robotics for Artists,IMCA,322
Montreal 2050, , 
Microprocessor Systems,COEN,317
Intermediate Modern Chinese I ,MCHI,240
Plant Biology,BIOL,340
Costume Design Conception,DFTT,321
Special Topics in Ceramics,CERA,499
Palaeobiology,GEOL,302
Development & Global Engineering (also listed as ENCS 6821),ENCS,6821
Management Consulting Concordia, , 
Engineering Industrial Experience Work Term I,ENGR,107
Flight Control Systems,AERO,480
"Technoculture, Art and Games (TAG)", , 
Computer-Aided Building Design,BLDG,6591
Smart Grids and Control System Security,INSE,6640
Drawing III ,DRAW ,400
Database Security and Privacy,INSE,6160
"Narration, Time, Stories I",DRAW ,310
Individual and Group Intervention with Youth,AHSC,525
Ensembles ll,ACTT,360
Supervision of Practice Teaching,APLI,647
Filipino Organization of Concordia University Students, , 
Microprocessors and Their Applications,COEN,6711
Cybercrime Investigations,INSE,6610
Contemporary Relief and Woodcut I,PRIN,291
Advanced Projects in Print Media I,PRIN,451
Quality Assurance for System Engineering,INSE,6280
Networks Security and Management,ELEC,465
"Physical Fitness Assessment, Exercise Prescription and Rehabilitation in Special Populations",KCEP ,449
Seminar in Special Topics,MBA,695
Concordia University Turkish Student Association, , 
Abstract Painting I,PTNG,316
Advanced Top/Biotechnology: Tools of Synthetic Biology,BIOL,631
Scheduling Theory,INDU,6231
Scene Study ll,ACTT ,331
Scientific Communication,BIOL,423
General Chemistry I,CHEM,205
Information Systems Analysis,BTM,481
Advanced Processes in Digital Print Media III,PRIN,441
Digital Signal Processing,ELEC,6601
Intermediate Topics in Biology: Ecology of Urban Environments,BIOL,398
Visual Journalism Portfolio,JOUR,537
Environmental Engineering,CIVI,6611
Earthquake Engineering,CIVI,7001
Coaching Interventions and Processes,AHSC,685
Voice for Stage lV,ACTT,455
Advanced Geographic Information Systems,GEOG,463
Entrepreneurship through Acquisition,MANA,684
Strategic Accounting Case Analysis,ACCO,435
Large Format Photography I,PHOT,311
Introduction to Designer's Studio: Conception,DFTT,301
Special Topics in Fibres and Material Practices,FBRS,398
Facilities Design and Material Handling Systems,INDU,421
Human Resource Management ,MANA ,362
Information Technology Applications in Construction,BLDG,7841
Geography of Global Change,GEOG,801
Geography of Global Change,GEOG,210
Geography of Global Change,HENV,801
Geography of Global Change,HENV,210
Pedagogical Training,GEOG,801
Pedagogical Training,GEOG,210
Pedagogical Training,HENV,801
Pedagogical Training,HENV,210
Rasa Boxes,ACTT,432
Introduction to Optimization,MAST,324
Advanced Computer Graphics,COMP,6761
Human Rights: An Overview,POLI,214
Informatique et traduction,FTRA,416
Higher Layer Telecommunications Protocols,ELEC,6861
Jazz Choir III,JPER ,425
"Telling Stories: Oral History, Memoryscapes, and Digital Storytelling",HIST,388
Microprocessors and Applications,MECH,6621
Collage,PTNG,440
Manufacturing of Composites,MECH,425
Étude avancée d’un sujet particulier / Special Topics,FTRA,598
Professional Internship in Intermedia II,IMCA,482
Sustainable Management of Industrial Waste,CIVI,6481
The Artist’s Book as Object ,PRIN,365
Professional Internship II,PHOT,472
Mechatronics,MECH,474
Modern Building Materials,BLDG,6621
Independent Study,SSDB,428
Independent Study,PTNG,470
International Marketing Management,MARK,465
Transportation Systems Analysis,CIVI,6401
Engineering Industrial Experience Reflective Learning II,ENGR,208
Tutorat en traduction,FTRA,682
Sculpture/Mechanics,SCUL,251
Human Physiology II: Cardiovascular and Respiratory Systems: From Rest to Exercise,EXCI,259
Structural Health Monitoring,CIVI,6061
Le DÉC en milieu autochtone. Partie II,SCPA,537
Medical Image Processing,ELEC,6661
Advanced Game Development,COMP,476
Embedded System Modelling,COEN,6341
History and Sound,HIST,397
Concordia Student Broadcasting Corporation, , 
Special Topics in Contemporary Studio Arts Practice,ARTX,398
Reinforced Earth,CIVI,6541
Painting III,PTNG,400
Jazz Choir,JPER ,225
Sculpture and Spatial Practices,SCUL,310
Assessment of the Upper and Lower Extremities,CATA,337
Engineering and Commerce Case Competition (ENGCOMM), , 
Undergraduate Aerospace Industry Project II,IADI,401
Landscape Ecology,GEOG,371
Professional Development,POLI,683
Advanced Electrical Machines and Drives,ELEC,6431
Energy Management in Buildings,BLDG,6781
Computer Applications in Civil Engineering Practice,CIVI,440
Professional Internship,PHOT,470
Digital System Design and Synthesis,COEN,6501
TESL Pedagogy: General,TESL,326
Technology in Language Teaching,APLI,644
Scene Study l,ACTT ,210
Principles of Contemporary Dance,DANC,240
Methodology and History,HIST,403
John Molson Trading League, , 
Documentary Video and Radio,JOUR,532
Internship I in Youth Work,AHSC,533
Econometrics II,ECON,422
Total Quality Methodologies in Engineering,INSE,6210
D3 Innovation Projects, , 
Advanced Reinforced Concrete,CIVI,6001
Specialization Research Project (3 cr),PHYS,497
Introduction to Elements of Production,DFTT,212
Supply Chain Project,SCOM,498
Classics of Irish Theatre,IRST,344
Design of Integrated Circuit Components,ELEC,422
"Heating, Air Conditioning and Ventilation",MECH,6181
Programming for Artists,IMCA,221
Pratique de la localisation,FTRA,558
Independent Study I,PERC,405
Advanced literary translation Co-listé : FTRA 544 ou 545,FTRA,615
Integrating Digital Technologies and Social Media in Learning Environments,EDUC,307
Chemical Aspects of Biophysics,PHYS,660
Montreal Health Statistics Centre, , 
Cable Stayed Bridges,CIVI,7121
Creative Process II,DANC,301
Applied Linear Statistical Models,MSCA,602
Ecocide and Dystopias,LOYC,298
Software Testing and Validation,COEN,345
Supply Chain Simulation,SCOM,492
The Center for Studies in Behavioral Neurobiology, , 
Learning and Individual Change Processes,AHSC,620
Independent Study in Print Media II,PRIN,472
Intermediate German: Intensive Course ,GERM,240
"Seminar in Creative Writing: Prose Fiction, Poetry and Drama ",ENGL,671
Directed Research in Psychology,PSYC,387
Industrial Relations and Collective Bargaining,MANA,366
Molecular Modelling of Proteins,CHEM,436
Introductory Creative Writing: Poetry,ENGL,225
Combustion,MECH,6191
Statistical Analysis II,PSYC,316
Histoire du livre et de l’édition,FLIT,454
Internship in Human Relations,AHSC,439
Jewish Community Engagement,RELI,6018
Centre for Research in Molecular Modeling, , 
Socially Responsible & Sustainable Investment,GIIM,655
International and Ethnic Associations Council, , 
Financial Strategies and Decisions,ACCO,657
Vertebrate Biology,BIOL,330
Engineering Industrial Experience Reflective Learning II,ENGR,208
Inorganic Chemistry II: The Chemistry of the Main Group Elements,CHEM,242
Introductory Creative Writing: Prose Fiction,ENGL,226
Athletic Therapy Clinical Internship I,CATA,475
Operating Systems,COMP,346
Editing and Page Design,JOUR,309
Introduction to the Biomechanics of Human Movement,EXCI,351
Fiber-Optic Communication Systems and Networks,ELEC,6871
Aerodynamics,MECH,6121
Applied Statistics,MAST,333
IPSA-Concordia Summer School in Applied Diplomacy, , 
Pratique de la localisation Co-listé : FTRA 558,FTRA,658
Tutorat en linguistique,FTRA,684
Special Topics in Sculpture ,SCUL,399
Creativity and Innovation,EMBA,632
Media Research Practicum,COMS,606
Noise and Vibration Control,MECH,6311
Physical Activity: Health and Well-being in Early Childhood Settings,EDUC,406
Soil Mechanics,CIVI,432
Special Topics in Intermedia,IMCA,399
Writing for Media,ENGL,417
Thermal Building Simulation,BLDG,6791
Malware Defenses and Application Security,INSE,6140
System Hardware,SOEN,228
John Molson ManuLife Sustainable Investing Practicum, , 
Vehicular Internal Combustion Engines,MECH,6761
Independent Study II,AHSC,491
Advanced Game Development,COMP,6331
John Molson MBA Society, , 
APC Practicum III: Adult,PSYC,824
Literary Pedagogies,ENGL,601
Remote Sensing,GEOG,465
"Center for Research on Values, Attitudes and Societies", , 
Directed Studies / Practicum in Urban Planning II,URBS,484
Field Observations,CHST,608
Thermodynamics II,MECH,351
Women and Painting,PTNG,430
Pavement Management Systems,CIVI,6461
Special Topics in Painting,PTNG,498
Innovation and Critical Thinking in Science and Technology (also listed as ENCS 6041),ENCS,6041
Trusted Computing,INSE,6650
Heat Transfer II,MECH,452
Large Format Photography II,PHOT,312
Aerospace Engineering Design Project,AERO,390
Surveying,BCEE,371
Traduction littéraire du français à l’anglais,FTRA,301
Aspects théoriques et pratiques de la terminologie Co-listé : FTRA 533,FTRA,633
Practicum in Experimental Techniques,PSYC,850
CJLO, , 
Independent Study I,SCUL,451
Special Topics in Intermedia ,IMCA,498
Vehicle Vibration and Control,MECH,7511
Design of Industrial Structures,CIVI,6051
Industrialized Building,BLDG,6641
Therapeutic Modalities in Sports Medicine,CATA,348
Genetics and Cell Biology Laboratory,BIOL,368
Analysis and Design of Hydraulic Control Systems,MECH,6061
Advanced Quality Control,INDU,6331
Experiential Learning,HENV,802
Honours Essay,ENGL,474
Quality Assurance in Supply Chain Management,INSE,6300
Centre for Structural and Functional Genomics, , 
Elements of Lighting for Visual Journalism,JOUR,527
Big Band II,JPER ,323
Intermediate Video Production,IMCA,310
Leadership and Motivation,MANA,447
Choir I,MPER,231
Experimental Protein Chemistry,CHEM,692
Integrating Computers into the Elementary Classroom,EDUC,301
International Organizations,POLI,315
Managerial Forecasting,BSTA,477
Introductory Spanish: Intensive,SPAN,200
Internship II in Youth Work,AHSC,537
Sustainability Action Fund, , 
Rwanda Field School in Engineering and Sustainable Development,ENCS,485
Social Justice Centre, , 
History and the Public,HIST,306
Présentation du mémoire incluant une réalisation médiatique,FLIT,691
Entrepreneurship: Launching Your Business,MANA,300
Honours Research Experience II,PHYS,389
Independent Study II,ARTX,491
Intermediate Spanish: Intensive Course ,SPAN,240
Mechanical Shaping of Metals and Plastics,MECH,421
"Introduction to Tribology (Wear, Friction and Lubrication)",MECH,6431
Ad Hoc Wireless Networks: Architectures and Protocols,INSE,6431
Organic Chemistry IV: Organic Structure and Stereochemistry,CHEM,325
Professional Development Workshops,ENGL,802
Centre for Multidisciplinary Behavioural Business Research (CMBBR), , 
Capstone Aerospace Engineering Design Project,AERO,490
Building Economics II,BLDG,7831
Crafting and Implementing Successful Strategies,MBA,650
Extramural Practicum II: Adult,PSYC,839
French Language: Elementary,FRAN,211
Managing People in Organizations,MBA,647
Special Topics in Photography,PHOT,498
Introductory Analytical Chemistry I,CHEM,217
Performance Creation Mainstage,PERC,490
Introduction to Optical Communication Systems,ELEC,466
History of Art,LBCL,295
Beta Gamma Sigma Honour Society, , 
Social Debates and Issues in Public Affairs and Public Policy,SCPA,301
Rédaction avancée,FRAA,623
Rédaction avancée,FRAA,419
"Le français en Amérique du Nord, histoire et destins",FRAA,623
"Le français en Amérique du Nord, histoire et destins",FRAA,419
School of Community and Public Affairs Students’ Association, , 
Embedded Systems and Software,SOEN,422
Introduction to Hinduism,RELI,224
Child Studies Seminar: Early Childhood Settings,EDUC,461
Conducting Acting Workshop,ACTT,481
Advanced Youth Work Intervention: Case Management and Supervision,AHSC,527
Brand Management (Seminar),MARK,491
Occupational Safety Engineering,INDU,6421
Modern English Grammar,TESL,231
Analysis and Design of Control Systems,MECH,371
Lighting Design Conception,DFTT,311
The Centre for Clinical Research in Health, , 
Introduction to Painting,PTNG,201
Modern Antenna Theory,ELEC,6351
